Regulator gene,Target gene
1,2
1,3
1,4
1,5
1,6
4,49
4,81
4,82
7,8
8,1
8,18
8,20
8,23
8,24
8,38
8,77
8,80
9,10
9,11
9,12
12,46
13,3
13,7
13,8
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
17,7
17,27
17,32
17,37
17,44
17,62
17,63
17,64
22,12
22,15
22,17
22,18
22,19
22,36
22,54
22,85
22,86
22,87
22,88
23,18
26,30
26,38
26,48
26,59
26,75
26,78
26,97
27,21
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
29,13
29,26
29,38
29,45
29,54
29,55
29,56
29,57
29,58
29,59
29,60
29,61
34,97
35,25
35,47
35,89
36,23
36,37
36,38
38,24
38,26
38,30
38,63
38,80
38,89
39,40
40,23
41,35
41,42
43,25
44,18
44,37
45,31
45,42
45,46
45,47
45,48
45,49
45,50
51,18
51,19
51,26
51,52
51,53
64,5
64,17
64,26
64,28
64,31
64,32
64,37
64,62
64,69
64,93
64,94
64,95
64,96
65,2
65,30
65,42
65,51
65,55
65,66
65,67
65,68
65,69
65,70
65,71
71,26
71,49
71,50
71,74
71,79
71,81
71,82
71,84
71,99
71,100
72,13
72,16
72,18
72,21
72,22
72,23
72,24
72,26
72,65
72,73
74,1
74,3
74,14
74,15
74,37
74,47
74,69
74,72
74,75
74,76
74,77
74,78
74,79
79,3
79,18
79,19
79,21
79,24
79,36
79,62
79,73
79,89
79,90
83,39
83,84
91,43
91,63
92,31
92,63
98,43
98,53
98,84
